bus id,date,fuel type,outage end,outage start,unit name,unit size,zone
150111,2020-10-15,UR,11/3/2020 0:00,10/11/2020 0:00,COMANCHE PEAK 1,1235,LZ_NORTH
150111,2020-10-08,UR,10/9/2020 0:00,10/5/2020 0:00,COMANCHE PEAK 1,1235,LZ_NORTH
150111,2020-10-09,UR,10/9/2020 0:00,10/7/2020 0:00,COMANCHE PEAK 1,1235,LZ_NORTH
150111,2020-10-11,UR,11/3/2020 0:00,10/10/2020 0:00,COMANCHE PEAK 1,1235,LZ_NORTH
150111,2020-10-12,UR,11/3/2020 0:00,10/10/2020 0:00,COMANCHE PEAK 1,1235,LZ_NORTH
150111,2020-10-13,UR,11/3/2020 0:00,10/10/2020 0:00,COMANCHE PEAK 1,1235,LZ_NORTH
110751,2020-10-15,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT1,203,LZ_HOUSTON
110751,2020-10-10,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT1,203,LZ_HOUSTON
110751,2020-10-11,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT1,203,LZ_HOUSTON
110751,2020-10-12,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT1,203,LZ_HOUSTON
110751,2020-10-13,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT1,203,LZ_HOUSTON
110752,2020-10-15,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT2,215,LZ_HOUSTON
110752,2020-10-10,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT2,215,LZ_HOUSTON
110752,2020-10-11,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT2,215,LZ_HOUSTON
110752,2020-10-12,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT2,215,LZ_HOUSTON
110752,2020-10-13,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT2,215,LZ_HOUSTON
110753,2020-10-15,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT3,203,LZ_HOUSTON
