PSSE New BUS,SSWG Bus Name,SSWG kV,Weather Zone,Settlement Zone,Planning Bus Long Name,TSP,County,Utility EIA ID,Zip Code,Latitude,Longitude
134291,OXY_S1,12,WZ_FAR_WEST,LZ_WEST,OXY_S1,ONCOR,ECTOR,,79741,31.99194,-102.64737
134291,OXY_S1,12,WZ_FAR_WEST,LZ_WEST,OXY_S1,ONCOR,ECTOR,,79741,31.991936,-102.647366
134292,OXY_8,138,WZ_FAR_WEST,LZ_WEST,OXY_8,ONCOR,ECTOR,,79741,31.99194,-102.64737
140951,GPST_WIND_I,34,WZ_NORTH,LZ_WEST,GREEN PASTURES GENERATOR,AEP,PECOS,44372,76380,33.64628,-99.42068
140951,GPST_WIND_I,34,WZ_NORTH,LZ_WEST,GREEN PASTURES GENERATOR,AEP,PECOS,44372,76380,33.64628,-99.42068
140952,GPST_WIND_II,34,WZ_NORTH,LZ_WEST,VERTIGO GENERATOR,AEP,PECOS,44372,76380,33.62805,-99.40995
140952,GPST_WIND_II,34,WZ_NORTH,LZ_WEST,VERTIGO GENERATOR,AEP,PECOS,44372,76380,33.62805,-99.40995
140953,GPST_8,345,WZ_NORTH,LZ_WEST,GREEN PASTURES,AEP,PECOS,44372,76380,33.64628,-99.42068
140953,GPST_8,345,WZ_NORTH,LZ_WEST,GREEN PASTURES,AEP,PECOS,44372,76380,33.64628,-99.42068
170200,ACA_UNIT1,34,WZ_FAR_WEST,LZ_WEST,ACACIA GENERATOR,AEP,PRESIDIO,20404,79845,29.59283,-104.3344
170200,ACA_UNIT1,34,WZ_FAR_WEST,LZ_WEST,ACACIA GENERATOR,AEP,PRESIDIO,20404,79845,29.59283,-104.3344
181651,HOVEY_UNIT1,34,WZ_FAR_WEST,LZ_WEST,HOVEY GENERATOR BUS,AEP,PECOS,16057,79735,30.95266,-103.36144
181651,HOVEY_UNIT1,34,WZ_FAR_WEST,LZ_WEST,HOVEY GENERATOR BUS,AEP,PECOS,16057,79735,30.95266,-103.36144
181652,HOVEY_8,138,WZ_FAR_WEST,LZ_WEST,HOVEY HIGH SIDE BUS,AEP,PECOS,16057,79735,30.95266,-103.36144
182302,PHOEBE_2,34,WZ_FAR_WEST,LZ_WEST,PHEOBE_S2,ONCOR,WINKLER,,79759,31.863557,-102.840574
182303,PHOEBE_3,34,WZ_FAR_WEST,LZ_WEST,PHEOBE_C2,ONCOR,WINKLER,,79759,31.863557,-102.840574
182304,PHOEBE_4,34,WZ_FAR_WEST,LZ_WEST,PHOEBE_C1,ONCOR,WINKLER,,79759,31.863557,-102.840574
182305,PHOEBE_5,34,WZ_FAR_WEST,LZ_WEST,PHEOBE_8,ONCOR,WINKLER,,79759,31.863557,-102.840574
